scores,next_score,periodo_encoded,calidad_aire_encoded,next_class_encoded,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind,Hora,"names_3 De Marzo, Vitoria-Gasteiz, País Vasco, Spain","names_A Grela (C), Galicia, Spain","names_Actur, Zaragoza, Spain","names_Algar de Palància, Valencia, Spain","names_Aljarafe, Mairena Del Aljarafe, Spain","names_Alonsotegi, País Vasco, Spain","names_Aranda de Duero II, Burgos, Spain","names_Arraiz, Bilbao, País Vasco, Spain","names_Av. Gasteiz, Vitoria-Gasteiz, País Vasco, Spain","names_Avd. Francia, València, Valencia, Spain","names_Avda de Soria, Zaragoza, Spain","names_Baracaldo, Barakaldo, País Vasco, Spain","names_Barcelona (Eixample), Catalunya, Spain","names_Barcelona (Gràcia-St.Gervasi), Catalunya, Spain","names_Barcelona (Palau Reial), Catalunya, Spain","names_Barcelona (Parc Vall d'Hebrón), Catalunya, Spain","names_Barcelona (Poblenou), Catalunya, Spain","names_Barcelona, Catalunya, Spain","names_Basauri, País Vasco, Spain","names_Benicassim, Valencia, Spain","names_Benigánim, Valencia, Spain","names_Bermejales, Sevilla, Spain","names_Burgos I, Spain","names_Burgos IV, Spain","names_Burriana, Valencia, Spain","names_Buñol, Valencia, Spain","names_C.T.G. - Compuerto, Palencia, Spain","names_C.T.G. - Villalba, Palencia, Spain","names_CEA, Sagunt, Valencia, Spain","names_Campanillas, Malaga, Spain","names_Carranque, Malaga, Spain","names_Casa De Campo, Madrid, Spain","names_Castellana, Madrid, Spain","names_Castrejana, Barakaldo, País Vasco, Spain","names_Ciudad Deportiva, Armilla, Spain","names_Coia, Vigo, Galicia, Spain","names_Cuatro Caminos, Madrid, Spain","names_El Atabal, Malaga, Spain","names_El Picarral, Zaragoza, Spain","names_Elda, Valencia, Spain","names_Erandio, País Vasco, Spain","names_Escuelas Aguirre, Madrid, Spain","names_Estación 1, Este, Galicia, Spain","names_Europa, Bilbao, País Vasco, Spain","names_Fernandez Ladreda, Madrid, Spain","names_Granada-norte, Granada, Spain","names_Guardo, Palencia, Spain","names_Hontoria I - Poblado, Palencia, Spain","names_Hontoria II - Venta de Baños, Palencia, Spain","names_Jaime Ferrán, Zaragoza, Spain","names_Jinamar fase 3, Canarias, Spain","names_L'Alcora, Valencia, Spain","names_La Loma-Telde, Canarias, Spain","names_Las Fuentes, Zaragoza, Spain","names_Lezcano, Canarias, Spain","names_Lope de Vega, Vigo, Galicia, Spain","names_Los Herran, Vitoria-Gasteiz, País Vasco, Spain",names_Madrid,"names_Mazarredo, Bilbao, País Vasco, Spain","names_Media  Red, Madrid, Spain","names_Medina de Pomar, Burgos, Spain","names_Mendez Alvaro, Madrid, Spain","names_Mercado Central, Canarias, Spain","names_Miranda de Ebro I, Burgos, Spain","names_Miranda de Ebro II, Burgos, Spain","names_Molí del Sol, València, Valencia, Spain","names_Montcada i Reixac (Can Sant Joan), Catalunya, Spain","names_Muriel de la Fuente, Soria, Spain","names_Mº Diaz Haro, Bilbao, País Vasco","names_Nestor Alamo, Canarias, Spain","names_Palacio De Congresos, Granada, Spain","names_Palencia III, Spain","names_Parque da Cega, Galicia, Spain","names_Perafort, Catalunya, Spain","names_Pista de Silla, València, Valencia, Spain","names_Plaza De Castilla, Madrid, Spain","names_Plaza Elíptica, Madrid, Spain","names_Politècnic, València, Valencia, Spain","names_Principes, Sevilla, Spain","names_Quart de Poblet, Valencia, Spain","names_Rabassa, Alacant, Valencia, Spain","names_Ranilla, Sevilla, Spain","names_Renault IV, Palencia, Spain","names_Renovales (Luis Vives), Zaragoza, Spain","names_Riazor, A Coruña, Galicia, Spain","names_Roger de Flor, Zaragoza, Spain","names_San Nicolas, Canarias, Spain","names_Sanchinarro, Madrid, Spain","names_Sangroniz, Sondika, País Vasco, Spain","names_Sant Adrià de Besòs, Catalunya, Spain","names_Santa Clara, Sevilla, Spain","names_Segovia II, Spain","names_Soria, Spain","names_Tarragona (Bonavista), Catalunya, Spain","names_Torneo, Sevilla, Spain","names_Torre Hércules, A Coruña, Galicia, Spain","names_Vinaròs Planta, Valencia, Spain","names_Viver, Valencia, Spain","names_alcorcón, Madrid, Spain","names_algete, Madrid, Spain","names_collado villalba, Madrid, Spain","names_el atazar, Madrid, Spain","names_l'Hospitalet de Llobregat, Catalunya, Spain","names_torrejon de ardoz, Madrid, Spain","names_valdemoro, Madrid, Spain","names_villa del prado, Madrid, Spain","names_villarejo de salvanes, Madrid, Spain",comunity_Andalucia,comunity_Aragón,comunity_Canarias,comunity_Castilla_Leon,comunity_Catalunya,comunity_Com_Valenciana,comunity_Galicia,comunity_Madrid,comunity_Pais_Vasco,comunity_nan,periodo_mañana,periodo_mediodia,periodo_noche,periodo_tarde,calidad_aire_-,calidad_aire_Arriesgado,calidad_aire_Buena,calidad_aire_Dañina a la Salud,calidad_aire_Dañina a la Salud de los Grupos Sensitivos,calidad_aire_Moderada
55.0,53.0,3,3.0,3.0,-0.89520943,1.1551027,0.36613962,-0.09532603,-0.5909101,0.18213643,1.3276091,-0.9711034,-0.70960224,-0.41622755,1.3865538,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
53.0,53.0,0,3.0,3.0,-0.89520943,1.8811759,0.21396326,-1.0783814,-0.49336994,0.47732484,1.2161307,-0.9711034,-0.880674,-0.83948,-1.3655298,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
53.0,42.0,1,3.0,4.0,-0.89520943,0.7920663,1.0593874,-0.72495425,-0.49336994,1.0677017,1.2161307,-0.9711034,-0.11085111,-0.92413044,-0.7757976,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
42.0,53.0,2,4.0,3.0,-0.89520943,-0.92630655,-0.4116507,0.78329796,-0.78599036,-0.21144818,0.60300034,-0.9711034,1.2577229,-0.41622755,0.20708938,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
53.0,59.0,3,3.0,3.0,-0.89520943,1.3003174,-0.17493191,0.071392976,-0.29828972,-0.014655869,1.2161307,-0.9711034,-0.4529946,-0.41622755,1.1899763,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
59.0,46.0,0,3.0,4.0,-0.89520943,1.8811759,-0.4116507,-0.68887013,0.09187077,0.37892872,1.5505655,-0.9711034,-0.62406635,-0.92413044,-1.1689525,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46.0,63.0,1,4.0,3.0,-0.89520943,0.69525653,-0.107297964,-0.08806826,0.09187077,0.37892872,0.8259568,-0.9711034,0.2312924,0.091675356,-0.3826428,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
63.0,53.0,2,3.0,3.0,-0.89520943,0.93728083,-0.25947434,0.120956294,0.09187077,0.37892872,1.773522,-0.9711034,-0.025315236,0.23275949,0.40366676,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
53.0,21.0,3,3.0,4.0,-0.89520943,1.3003174,-0.17493191,0.018083982,0.4820313,-0.5066366,1.2161307,-0.9711034,-0.70960224,0.17632575,1.1899763,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21.0,9.0,0,4.0,4.0,-0.89520943,1.4213295,-0.3271083,-0.81272215,0.6771115,-0.9002212,-0.56752133,-0.9711034,-0.9662099,-0.10584251,-1.1689525,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
